time,phase,grasp_lock_active,contact_force_n,inserted_depth_m,peg_x_m,peg_y_m,peg_z_m,peg_hole_xy_error_m,q1_rad,q2_rad,q3_rad,q4_rad,q5_m,q6_rad,q3_abs_rad,q4_abs_rad,q6_turns,q_tracking_error,q_tracking_error_without_q6,q34_tracking_error,q6_tracking_error_rad,q6_speed_rad_s,ctrl_joint1,ctrl_joint2,ctrl_joint3,ctrl_joint4,ctrl_joint5,ctrl_joint6
0.002,open gripper to maximum,0,0.0,0.08,-0.3505427002397946,-0.32873105613095743,0.05496076,0.3031777685447047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.261928139816188,2.0906296682166037e-05,-33.736266267840875,-1.641090884604672e-11
0.004,open gripper to maximum,0,0.000272380267629429,0.08,-0.3505427276481174,-0.32873098412876345,0.054970404187347645,0.30317783821044086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.261928139816188,2.0906296682166037e-05,-33.736266267840875,-1.641090884604672e-11
0.006,open gripper to maximum,0,0.00011479836927987955,0.08,-0.35054273969628846,-0.32873095256014284,0.05497762614692929,0.303177868752247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.261928139816188,2.0906296682166037e-05,-33.736266267840875,-1.641090884604672e-11
0.008,open gripper to maximum,0,0.00011611072969498274,0.08,-0.35054275173145416,-0.32873092097486667,0.054983055887317916,0.30317789931166567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.261928139816188,2.0906296682166037e-05,-33.736266267840875,-1.641090884604672e-11
0.01,open gripper to maximum,0,0.00011739826325971998,0.08,-0.350542763937686,-0.32873088893690505,0.054987137747587865,0.30317793030917795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.261928139816188,2.0906296682166037e-05,-33.736266267840875,-1.641090884604672e-11
0.012,open gripper to maximum,0,0.0001183758054608989,0.08,-0.35054277626429264,-0.3287308565805715,0.054990205736964316,0.30317796161479493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.261928139816188,2.0906296682166037e-05,-33.736266267840875,-1.641090884604672e-11
0.014,open gripper to maximum,0,0.00011910981877322964,0.08,-0.3505427886731155,-0.32873082400594644,0.05499251101218327,0.30317799313168864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.261928139816188,2.0906296682166037e-05,-33.736266267840875,-1.641090884604672e-11
0.016,open gripper to maximum,0,0.00011965808894276695,0.08,-0.3505428011373392,-0.32873079128334465,0.05499424247408184,0.3031780247918298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.261928139816188,2.0906296682166037e-05,-33.736266267840875,-1.641090884604672e-11
0.018000000000000002,open gripper to maximum,0,0.00012006529535778449,0.08,-0.35054281363792805,-0.3287307584626884,0.05499554222011871,0.30317805654691865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.261928139816188,2.0906296682166037e-05,-33.736266267840875,-1.641090884604672e-11
0.020000000000000004,open gripper to maximum,0,0.00012036565023325975,0.08,-0.35054282616122356,-0.32873072557980526,0.054996517150508004,0.3031780883622917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.261928139816188,2.0906296682166037e-05,-33.736266267840875,-1.641090884604672e-11
